Crop,Week,Temp_C,Humidity_RH,pH_Water,N_ppm,P_ppm,K_ppm,EC_Target
basil,7,18.44,62.33,6.22,147.5,38.75,177.5,0.702
basil,2,25.32,63.69,6.83,99.06,29.53,99.06,0.439
cucumber,10,19.47,44.89,5.64,197.83,68.91,347.83,1.185
zucchini,4,16.51,58.65,7.3,175.9,57.95,295.9,1.022
cucumber,4,27.24,65.67,7.04,203.36,71.68,353.36,1.212
spinach,3,28.39,49.79,6.29,170.99,55.85,240.17,0.901
strawberry,18,31.64,65.44,5.98,85.84,38.47,174.92,0.577
tomato,8,22.29,57.77,7.99,144.66,68.08,323.16,1.034
basil,4,16.43,38.62,6.11,132.23,34.62,159.23,0.629
melon,7,16.51,75.0,6.16,163.93,71.96,383.93,1.195
lettuce,2,21.21,69.74,7.65,80.7,27.6,89.2,0.381
arugula,3,22.4,89.82,7.18,171.46,45.73,211.46,0.827
mint,10,27.79,68.51,4.89,165.75,44.62,191.25,0.775
spinach,5,23.86,45.62,6.4,176.03,58.02,246.03,0.926
melon,10,24.61,56.23,5.67,163.1,71.55,383.1,1.191
strawberry,4,17.79,74.18,5.58,93.43,41.71,123.43,0.499
eggplant,2,31.37,61.53,6.59,113.79,47.91,140.76,0.583
strawberry,8,15.73,48.64,5.25,105.27,47.64,205.27,0.691
pak_choi,3,25.17,98.08,6.08,172.95,61.47,252.95,0.94
tomato,12,21.5,76.0,6.21,170.5,80.25,380.5,1.217
mint,5,19.83,51.33,5.14,177.38,43.69,207.38,0.826
pepper,14,22.37,34.31,5.46,145.06,54.53,289.06,0.942
strawberry,16,21.82,59.25,5.07,107.95,48.98,207.95,0.704
lettuce,3,28.77,46.42,5.86,154.29,47.84,193.36,0.763
pak_choi,6,32.59,79.74,5.76,135.72,46.3,204.71,0.746
lettuce,1,21.01,36.37,6.12,76.73,24.87,85.73,0.361
cilantro,2,17.81,62.58,8.62,71.21,27.11,88.21,0.36
bean,4,31.67,51.62,5.72,122.86,43.63,176.25,0.661
eggplant,1,10.32,70.49,6.4,128.18,53.59,159.68,0.659
spinach,4,15.95,69.02,6.36,177.57,58.78,247.57,0.933
pak_choi,3,30.7,48.55,7.2,164.86,59.46,238.38,0.892
cilantro,5,25.73,83.09,5.85,131.96,35.98,171.96,0.656
cilantro,2,20.07,77.82,7.09,70.28,25.14,90.28,0.358
strawberry,13,21.47,89.92,6.37,110.66,50.33,210.66,0.717
lettuce,1,37.08,58.81,6.04,65.48,21.83,72.75,0.309
eggplant,3,26.23,72.21,5.21,114.93,47.46,144.93,0.593
melon,4,20.02,75.22,7.73,133.0,58.0,320.0,0.986
